Sample_ID,Bioproject,Name_cn,Name,Whiteness Degree of Complete Grain (%),Whiteness Degree of Dead Grain (%),Amylose Content of Grain (%),Protein Content of Grain (%),Taste Score of Cooked Grain,Water Content of Grain,Awn Length (cm),Grain Length (mm),Grain Width (mm),Grain Thickness (mm),Grain Length Width Ratio (%),1000-Grain Weight (g),Flag Leaf Length (cm),Flag Leaf Width (cm),Leaf Blade Width (cm),Leaf Sheath Color,Leaf Rolling Index (%),Plant Height (cm),Panicle Length (cm),Culm Length (cm),Ligule Llength (mm),SPAD Value of Flag Leaf,Tiller Number per Plant (num),Blighted Grains per Plant (num),Blighted Grains per Panicle (num),Blighted Grains Weight per Plant (g),Filled Grains per Plant,Filled Grains per Panicle,Filled Grains Weight per Plant (g),Grain Number per Panicle (num),Seed Setting Rate (%),Grain Yield per Plant (g),Panicle Number per Plant (num),Number of Productive Panicle per Plant (num),Panicle Weight (g),Spikelet Number per Panicle (num),Panicle Weight per Plant (g),Yield per Plant (g),"Heading Date (50%, days)",Seedling Height (cm),Cd concentration,Treatment,Years,Region,Region_cn
SAMC008183,PRJCA000322,徐稻3号,XuDao3Hao,,,,,,,,6.9,3.1,,,21.3,,,,,,98,,,,,17,,,,,,,,,17.9,,,,,,,124,,,,2015,Beijing,北京市
SAMC008184,PRJCA000322,连粳7号,LianGeng7Hao,,,,,,,,7,3.1,,,22.7,,,,,,102,,,,,10,,,,,,,,,24.3,,,,,,,126,,,,2015,Beijing,北京市
SAMC008185,PRJCA000322,圣稻16,ShengDao16,,,,,,,,7.3,3.2,,,25.8,,,,,,104,,,,,7,,,,,,,,,31.1,,,,,,,126,,,,2015,Beijing,北京市
SAMC008186,PRJCA000322,阳光200,YangGuang200,,,,,,,,7,3.3,,,27.4,,,,,,110,,,,,11,,,,,,,,,42.8,,,,,,,121,,,,2015,Beijing,北京市
SAMC008187,PRJCA000322,阳光600,YangGuang600,,,,,,,,6.8,3.2,,,25.1,,,,,,101,,,,,8,,,,,,,,,32.7,,,,,,,121,,,,2015,Beijing,北京市
SAMC008188,PRJCA000322,大粮203,DaLiang203,,,,,,,,7.3,3.1,,,25.9,,,,,,103,,,,,6,,,,,,,,,26.1,,,,,,,121,,,,2015,Beijing,北京市
SAMC008189,PRJCA000322,临稻16,LinDao16Hao,,,,,,,,6.7,3.5,,,29.8,,,,,,99,,,,,8,,,,,,,,,35.4,,,,,,,121,,,,2015,Beijing,北京市
SAMC008190,PRJCA000322,临稻17,LinDao17Hao,,,,,,,,7.4,3.3,,,25.9,,,,,,102,,,,,15,,,,,,,,,49,,,,,,,120,,,,2015,Beijing,北京市
SAMC008191,PRJCA000322,临稻18,LinDao18Hao,,,,,,,,7.3,3.1,,,26.2,,,,,,97,,,,,14,,,,,,,,,52.2,,,,,,,120,,,,2015,Beijing,北京市
SAMC008192,PRJCA000322,郑稻18,ZhengDao18Hao,,,,,,,,7,3.2,,,24.1,,,,,,100,,,,,14,,,,,,,,,39.2,,,,,,,121,,,,2015,Beijing,北京市
SAMC008193,PRJCA000322,新稻20,XinDao20,,,,,,,,7.1,3.3,,,26.5,,,,,,104,,,,,8,,,,,,,,,28.7,,,,,,,123,,,,2015,Beijing,北京市
SAMC008194,PRJCA000322,新稻29,XinDao29,,,,,,,,7.1,3.3,,,26.1,,,,,,108,,,,,9,,,,,,,,,40.9,,,,,,,123,,,,2015,Beijing,北京市
SAMC008195,PRJCA000322,连粳8号,LianGeng8Hao,,,,,,,,7.2,3.3,,,28,,,,,,104,,,,,10,,,,,,,,,33.7,,,,,,,126,,,,2015,Beijing,北京市
SAMC008196,PRJCA000322,津稻1007,JinDao1007,,,,,,,,7,3.2,,,24.9,,,,,,104,,,,,7,,,,,,,,,26.4,,,,,,,123,,,,2015,Beijing,北京市
SAMC008197,PRJCA000322,津稻263,JinDao263,,,,,,,,7,3.1,,,21.2,,,,,,103,,,,,9,,,,,,,,,36.1,,,,,,,123,,,,2015,Beijing,北京市
SAMC008198,PRJCA000322,苏秀10号,SuXiu10Hao,,,,,,,,6.9,3.1,,,24.3,,,,,,107,,,,,9,,,,,,,,,33.6,,,,,,,125,,,,2015,Beijing,北京市
SAMC008199,PRJCA000322,连嘉粳1号,LianJiaGeng1Hao,,,,,,,,7.2,3.3,,,25.2,,,,,,97,,,,,9,,,,,,,,,26.4,,,,,,,127,,,,2015,Beijing,北京市
SAMC008200,PRJCA000322,秀水05,XiuShui05,,,,,,,,7.4,3.3,,,25.2,,,,,,97,,,,,6,,,,,,,,,14.5,,,,,,,137,,,,2015,Beijing,北京市
SAMC008201,PRJCA000322,秀水134,XiuShui134,,,,,,,,7.2,3.3,,,17.9,,,,,,95,,,,,7,,,,,,,,,15.7,,,,,,,140,,,,2015,Beijing,北京市
SAMC008202,PRJCA000322,秀水08(嘉兴),XiuShui08,,,,,,,,,,,,,,,,,,89,,,,,7,,,,,,,,,9.2,,,,,,,144,,,,2015,Beijing,北京市
