Sample_ID,Bioproject,Name_cn,Name,Whiteness_Degree_of_Complete_Grain(%),Whiteness_Degree_of_Dead_Grain(%),Amylose_Content_of_Grain(%),Protein_Content_of_Grain(%),Taste_Score_of_Cooked_Grain,Water_Content_of_Grain,Awn_Length(cm),Grain_Length(mm),Grain_Width(mm),Grain_Thickness(mm),1000_Grain_Weight(g),"Heading_Date(50%,days)",Flag_Leaf_Length(cm),Flag_Leaf_Width(cm),Leaf_Blade_Width(cm),Leaf_Sheath_Color,Plant_Height(cm),Panicle_Length(cm),Culm_Length(cm),SPAD_Value_of_Flag_Leaf,Tiller_Number_per_Plant(num),Blighted_Grains_per_Plant(num),Blighted_Grains_per_Panicle(num),Blighted_Grains_Weight_per_Plant(g),Filled_Grains_per_Plant(num),Filled_Grains_per_Panicle(num),Filled_Grains_Weight_per_Plant(g),Grain_Number_per_Panicle(num),Seed_Setting_Rate(%),Grain_Yield_per_Plant(g),Panicle_Number_per_Plant(num),Number_of_Productive_Panicle_per_Plant(num),Panicle_Weight(g),Spikelet_Number_per_Panicle(num),Panicle_Weight_per_Plant(g),Yield_per_Plant(g),Cd_concentration,Treatment,Years,Region
SAMC008199,PRJCA000322,连嘉粳1号,LianJiaGeng1Hao,,,,,,,,7.2,3.3,,25.2,127,,,,,97,,,,9,,,,,,,,,26.4,,,,,,,,,2015,Beijing
SAMC008200,PRJCA000322,秀水05,XiuShui05,,,,,,,,7.4,3.3,,25.2,137,,,,,97,,,,6,,,,,,,,,14.5,,,,,,,,,2015,Beijing
SAMC008201,PRJCA000322,秀水134,XiuShui134,,,,,,,,7.2,3.3,,17.9,140,,,,,95,,,,7,,,,,,,,,15.7,,,,,,,,,2015,Beijing
SAMC008202,PRJCA000322,秀水08(嘉兴),XiuShui08,,,,,,,,,,,,144,,,,,89,,,,7,,,,,,,,,9.2,,,,,,,,,2015,Beijing
SAMC008203,PRJCA000322,秀水09(嘉兴),XiuShui09,,,,,,,,7.2,3.2,,18.2,141,,,,,90,,,,9,,,,,,,,,16.9,,,,,,,,,2015,Beijing
SAMC008204,PRJCA000322,秀水114,XiuShui114,,,,,,,,7.2,3.3,,18.7,135,,,,,98,,,,7,,,,,,,,,15.4,,,,,,,,,2015,Beijing
SAMC008205,PRJCA000322,秀水123(嘉兴),XiuShui123,,,,,,,,7.4,3.3,,21.4,137,,,,,98,,,,6,,,,,,,,,16.2,,,,,,,,,2015,Beijing
SAMC008206,PRJCA000322,连粳9号,LianGeng9Hao,,,,,,,,7,3.2,,25.8,126,,,,,104,,,,7,,,,,,,,,22.7,,,,,,,,,2015,Beijing
SAMC008207,PRJCA000322,秀水137(嘉兴),XiuShui137,,,,,,,,7.4,3.3,,21.6,135,,,,,96,,,,8,,,,,,,,,18.9,,,,,,,,,2015,Beijing
SAMC008208,PRJCA000322,秀水128(嘉兴),XiuShui128,,,,,,,,7.3,3.2,,17.2,139,,,,,97,,,,7,,,,,,,,,12.9,,,,,,,,,2015,Beijing
SAMC008209,PRJCA000322,嘉33,Jia33,,,,,,,,6.9,3.4,,26.2,127,,,,,104,,,,9,,,,,,,,,37.9,,,,,,,,,2015,Beijing
SAMC008210,PRJCA000322,丙8979(嘉兴),Bing8979,,,,,,,,7,3.2,,24.3,124,,,,,103,,,,9,,,,,,,,,25.7,,,,,,,,,2015,Beijing
SAMC008211,PRJCA000322,丙03123(嘉兴),Bing03123,,,,,,,,7.2,3.3,,20.4,138,,,,,97,,,,9,,,,,,,,,19.5,,,,,,,,,2015,Beijing
SAMC008212,PRJCA000322,丙03123(嘉兴),Bing03123,,,,,,,,7.3,3.3,,22.6,135,,,,,101,,,,9,,,,,,,,,21.3,,,,,,,,,2015,Beijing
SAMC008213,PRJCA000322,丙03123(嘉兴),Bing03123,,,,,,,,6.9,3.5,,27.7,125,,,,,103,,,,8,,,,,,,,,32.4,,,,,,,,,2015,Beijing
SAMC008214,PRJCA000322,嘉02147(嘉兴),Jia02147(JiaXing),,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Beijing
