Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,Unnamed: 22,Treatment,Years,location,Region_cn,Region
Q1261,PRJNA609577,Q1261,-,,,70.0,237.0,96.0,40.5,11.7,94.2,42.5,9.3,164.6,19.7,26.25,2.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
Denghai4866,PRJNA609577,Denghai4866,-,,,71.0,218.8,73.5,33.6,8.2,92.5,31.8,16.2,171.1,11.4,27.2,2.0,2.0,16.5,,,,,2016,HeBei Province,河北省,Hebei
32,PRJNA609577,32,-,,,66.0,210.0,78.3,37.3,8.9,71.8,35.8,4.8,159.1,22.0,24.43,1.0,2.0,12.0,,,,,2016,HeBei Province,河北省,Hebei
Ye107,PRJNA609577,Ye107,-,,,76.0,98.0,39.8,40.6,9.8,61.8,24.5,6.0,169.4,15.3,21.31,,,,,,,,2016,HeBei Province,河北省,Hebei
ICI_740,PRJNA609577,ICI_740,-,,,68.0,199.0,76.3,38.3,8.2,78.6,33.5,8.7,158.3,30.4,26.61,2.0,2.0,16.5,,,,,2016,HeBei Province,河北省,Hebei
911,PRJNA609577,911,-,,,61.0,185.3,49.3,26.6,8.2,68.7,33.6,16.4,149.1,34.2,20.51,1.0,2.0,16.7,,,,,2016,HeBei Province,河北省,Hebei
PHW51,PRJNA609577,PHW51,-,,,68.0,215.0,81.5,37.9,9.4,68.0,29.4,5.8,149.2,37.0,18.61,2.0,2.0,14.9,,,,,2016,HeBei Province,河北省,Hebei
LH202,PRJNA609577,LH202,-,,,61.0,206.8,77.3,37.4,9.3,75.5,33.8,8.4,159.3,20.1,21.49,2.0,2.0,16.7,,,,,2016,HeBei Province,河北省,Hebei
B12,PRJNA609577,B12,-,,,77.0,122.0,71.0,58.2,6.3,53.2,26.0,11.5,149.7,29.3,19.39,2.0,2.0,12.0,,,,,2016,HeBei Province,河北省,Hebei
H105W,PRJNA609577,H105W,-,,,64.0,208.5,94.3,45.2,8.9,88.3,34.5,12.0,137.2,44.4,18.99,1.0,1.0,18.4,,,,,2016,HeBei Province,河北省,Hebei
WIL_28,PRJNA609577,WIL_28,-,,,61.0,246.3,76.5,31.1,12.0,61.2,35.9,5.0,162.5,30.7,21.68,2.0,2.0,13.7,,,,,2016,HeBei Province,河北省,Hebei
WIL_12,PRJNA609577,WIL_12,-,,,58.0,215.0,62.0,28.8,8.5,82.4,36.8,10.8,161.1,22.1,17.57,1.0,2.0,14.9,,,,,2016,HeBei Province,河北省,Hebei
WIL_4,PRJNA609577,WIL_4,-,,,60.0,171.0,56.0,32.7,8.2,67.5,27.3,4.4,159.2,19.6,16.9,1.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
Ji53,PRJNA609577,Ji53,-,,,65.0,165.0,75.5,45.8,11.0,48.4,32.3,19.6,159.2,22.8,20.43,1.0,2.0,,,,,,2016,HeBei Province,河北省,Hebei
Dan9046,PRJNA609577,Dan9046,-,,,74.0,141.3,58.0,41.1,9.5,63.5,30.9,11.2,164.1,16.4,26.58,1.0,2.0,12.8,,,,,2016,HeBei Province,河北省,Hebei
WIL_1,PRJNA609577,WIL_1,-,,,68.0,229.8,71.5,31.1,8.7,77.4,40.3,4.4,168.1,17.5,18.06,2.0,2.0,15.8,,,,,2016,HeBei Province,河北省,Hebei
A659,PRJNA609577,A659,-,,,70.0,199.3,53.8,27.0,8.5,77.8,34.5,15.3,153.7,31.6,20.99,2.0,2.0,15.3,,,,,2016,HeBei Province,河北省,Hebei
3H_2,PRJNA609577,3H_2,-,,,73.0,201.5,98.0,48.6,9.9,69.5,24.9,17.8,160.0,19.1,22.6,1.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
FusheA,PRJNA609577,FusheA,-,,,78.0,161.8,114.0,,8.2,53.3,26.8,21.4,146.0,30.9,18.22,2.0,2.0,13.3,,,,,2016,HeBei Province,河北省,Hebei
Yu82,PRJNA609577,Yu82,-,,,69.0,192.5,61.8,32.1,7.5,81.3,35.1,12.8,171.9,10.4,19.03,1.0,2.0,13.7,,,,,2016,HeBei Province,河北省,Hebei
ZK11M,PRJNA609577,ZK11M,-,,,66.0,173.5,63.0,36.3,8.8,86.5,39.4,11.4,174.0,8.8,20.54,1.0,2.0,12.3,,,,,2016,HeBei Province,河北省,Hebei
LH213,PRJNA609577,LH213,-,,,69.0,235.0,66.0,28.1,9.8,84.6,34.1,4.3,155.8,28.1,22.45,2.0,2.0,16.6,,,,,2016,HeBei Province,河北省,Hebei
ZS01250,PRJNA609577,ZS01250,-,,,57.0,166.8,48.5,29.1,7.1,53.5,30.8,4.0,144.5,36.7,16.18,2.0,2.0,14.5,,,,,2016,HeBei Province,河北省,Hebei
904,PRJNA609577,904,-,,,58.0,182.3,48.8,26.7,8.2,69.3,31.4,14.2,149.3,32.0,19.79,2.0,2.0,17.4,,,,,2016,HeBei Province,河北省,Hebei
CS608,PRJNA609577,CS608,-,,,61.0,197.8,62.3,31.5,9.9,79.9,35.5,5.8,160.2,21.3,24.92,2.0,2.0,15.6,,,,,2016,HeBei Province,河北省,Hebei
515,PRJNA609577,515,-,,,66.0,205.5,88.5,43.1,8.9,73.4,31.8,9.6,166.6,13.7,21.89,1.0,2.0,15.6,,,,,2016,HeBei Province,河北省,Hebei
K12,PRJNA609577,K12,-,,,70.0,250.0,102.0,40.8,10.7,81.1,42.5,8.3,165.7,17.9,24.09,2.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
6F629,PRJNA609577,6F629,-,,,66.0,204.3,68.8,33.7,9.9,71.6,34.3,7.4,152.2,36.2,19.75,2.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
Huangyesi3,PRJNA609577,Huangyesi3,-,,,64.0,167.4,70.6,42.2,10.0,68.8,33.5,13.8,169.0,11.0,18.66,1.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
5005,PRJNA609577,5005,-,,,70.0,155.0,45.3,29.2,9.6,73.0,37.0,16.0,154.7,28.4,21.96,2.0,2.0,15.3,,,,,2016,HeBei Province,河北省,Hebei
IBB14,PRJNA609577,IBB14,-,,,62.0,205.8,79.3,38.5,7.8,66.8,33.3,8.0,138.5,45.7,18.14,2.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
PHW30,PRJNA609577,PHW30,-,,,62.0,217.8,62.8,28.8,6.1,78.2,30.4,15.8,169.4,11.8,16.81,2.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
Yuanqi123,PRJNA609577,Yuanqi123,-,,,71.0,153.0,57.5,37.6,9.4,77.5,41.9,6.8,149.2,34.4,20.51,1.0,2.0,13.5,,,,,2016,HeBei Province,河北省,Hebei
VA26,PRJNA609577,VA26,-,,,70.0,203.8,60.0,29.4,9.3,74.1,34.8,19.4,152.1,28.8,21.46,1.0,2.0,15.6,,,,,2016,HeBei Province,河北省,Hebei
B95,PRJNA609577,B95,-,,,69.0,258.0,99.3,38.5,10.8,78.8,46.0,6.0,155.5,30.1,21.65,2.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
Yuanwu02,PRJNA609577,Yuanwu02,-,,,62.0,163.3,62.3,38.1,10.8,76.3,39.8,6.8,158.8,25.3,23.04,1.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
Tie7922,PRJNA609577,Tie7922,-,,,67.0,263.0,114.0,43.3,10.2,76.3,28.6,6.6,168.9,22.7,20.39,1.0,2.0,17.0,,,,,2016,HeBei Province,河北省,Hebei
Ji842,PRJNA609577,Ji842,-,,,63.0,264.0,110.3,41.8,11.8,81.0,44.0,17.4,157.7,28.1,22.82,1.0,2.0,15.3,,,,,2016,HeBei Province,河北省,Hebei
Hai1134,PRJNA609577,Hai1134,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省,Hebei
Cheng687,PRJNA609577,Cheng687,-,,,76.0,185.5,79.0,42.6,11.6,84.5,30.0,13.0,162.3,25.3,23.29,2.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
CI_187_2,PRJNA609577,CI_187_2,-,,,70.0,197.0,69.3,35.2,8.8,69.0,38.3,8.0,137.2,44.1,21.12,2.0,2.0,12.7,,,,,2016,HeBei Province,河北省,Hebei
MT42,PRJNA609577,MT42,-,,,55.0,160.5,60.8,37.9,,61.8,22.1,23.0,128.2,51.5,,2.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
H95,PRJNA609577,H95,-,,,66.0,219.0,74.3,33.9,10.3,76.5,32.8,15.5,147.8,38.2,21.75,2.0,2.0,15.3,,,,,2016,HeBei Province,河北省,Hebei
C123,PRJNA609577,C123,-,,,62.0,181.8,59.0,32.5,9.1,72.0,34.8,14.8,147.1,38.2,20.41,2.0,2.0,15.3,,,,,2016,HeBei Province,河北省,Hebei
WF9,PRJNA609577,WF9,-,,,66.0,210.3,78.7,37.4,12.3,80.3,33.7,15.7,124.2,61.8,20.02,2.0,2.0,15.0,,,,,2016,HeBei Province,河北省,Hebei
VA59,PRJNA609577,VA59,-,,,63.0,188.8,68.0,36.0,9.9,74.0,33.8,14.5,161.7,29.0,17.54,2.0,2.0,13.3,,,,,2016,HeBei Province,河北省,Hebei
VA17,PRJNA609577,VA17,-,,,71.0,190.5,57.5,30.2,10.0,88.5,39.3,5.7,156.1,28.4,16.95,,,,,,,,2016,HeBei Province,河北省,Hebei
Wu105,PRJNA609577,Wu105,-,,,71.0,212.5,87.5,41.2,7.9,79.6,39.0,12.0,146.7,38.1,23.23,2.0,2.0,14.7,,,,,2016,HeBei Province,河北省,Hebei
75_1,PRJNA609577,75_1,-,,,77.0,231.3,130.8,56.5,8.6,78.0,36.7,27.5,155.1,30.5,28.66,1.0,1.0,13.3,,,,,2016,HeBei Province,河北省,Hebei
