Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,,Treatment,Years,location,Region_cn
3IBZ2,PRJNA609577,3IBZ2,-,,,56,145.8,31.5,21.6,7.7,64.3,27.3,6.6,137.6,51,16.79,1,2,12.5,,,,,2016,HeBei Province,河北省
Lx9801,PRJNA609577,Lx9801,-,,,70,252,103.5,41.1,9.6,75.3,38.8,10.5,171.3,14,25.7,1,2,14,,,,,2016,HeBei Province,河北省
444,PRJNA609577,444,-,,,69,161,62,38.5,8.8,71.8,,17,151,29.9,21.93,,,,,,,,2016,HeBei Province,河北省
Jing7,PRJNA609577,Jing7,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
Ji853,PRJNA609577,Ji853,-,,,63,190,62.5,32.9,7.4,80,37.5,6,143.7,39.4,19.31,2,2,11,,,,,2016,HeBei Province,河北省
Tangsipingtou,PRJNA609577,Tangsipingtou,-,,,70,202,95,47,9.9,55.5,31.4,16.6,145.2,38,19.76,1,1,10,,,,,2016,HeBei Province,河北省
196,PRJNA609577,196,-,,,69,205.3,91.8,44.7,8.4,74.6,30.6,8,166.2,13.7,24.59,1,2,14.8,,,,,2016,HeBei Province,河北省
NS501,PRJNA609577,NS501,-,,,60,154.5,60.5,39.2,6.8,64.8,26.8,11.6,117.5,61.4,16.91,2,2,11.3,,,,,2016,HeBei Province,河北省
Ji846,PRJNA609577,Ji846,-,,,73,200,73.2,36.6,11.6,74.1,38,8,146.6,33.3,27.72,1,2,10.7,,,,,2016,HeBei Province,河北省
P138,PRJNA609577,P138,-,,,71,201.8,99.5,49.3,9.8,76.4,29,8.4,159.4,26.3,19.91,2,2,13,,,,,2016,HeBei Province,河北省
Shen137,PRJNA609577,Shen137,-,,,74,246.3,113.5,46.1,10.3,86.9,34.8,20.8,163,19.8,20.54,1,2,12.3,,,,,2016,HeBei Province,河北省
Qi319,PRJNA609577,Qi319,-,,,71,228.8,79.3,34.6,9,91.8,40.4,14.8,163.9,20.7,21.89,2,2,13.7,,,,,2016,HeBei Province,河北省
698_3,PRJNA609577,698_3,-,,,75,218.8,88.8,40.6,10.8,82,34.2,7.2,154.7,29.6,21,1,2,18.3,,,,,2016,HeBei Province,河北省
Longkang11,PRJNA609577,Longkang11,-,,,63,190,63.5,33.4,8.5,75.4,39,14,149.7,36.1,21.62,1,2,10.7,,,,,2016,HeBei Province,河北省
Huobai,PRJNA609577,Huobai,-,,,68,200,92.2,46.1,7.8,75.3,34.6,15,155,27.5,28.23,1,1,11.7,,,,,2016,HeBei Province,河北省
9058,PRJNA609577,9058,-,,,69,211.3,59.5,28.2,11,78.3,35.9,10.2,167.7,13.8,18.14,1,2,14.4,,,,,2016,HeBei Province,河北省
FBLA,PRJNA609577,FBLA,-,,,67,206.3,66.3,32.1,7.8,74.8,28.8,5,138.8,43.2,16.13,2,2,14.5,,,,,2016,HeBei Province,河北省
Huotanghuang17,PRJNA609577,Huotanghuang17,-,,,69,150,52.3,34.8,9.1,66.3,32.8,6,145,39.9,15.88,1,2,10,,,,,2016,HeBei Province,河北省
7884_7Ht,PRJNA609577,7884_7Ht,-,,,74,200.5,99.3,49.5,10.7,81.8,31.1,8.4,163.7,20.5,27.7,2,2,17.3,,,,,2016,HeBei Province,河北省
81162,PRJNA609577,81162,-,,,78,106.5,47,44.1,9.9,55,23,5.3,164.8,18.3,20.55,2,2,13.3,,,,,2016,HeBei Province,河北省
PHH93,PRJNA609577,PHH93,-,,,58,196,62.5,31.9,8.4,81,34.9,13.3,157.4,23.8,19.47,2,2,13.3,,,,,2016,HeBei Province,河北省
Aijin525,PRJNA609577,Aijin525,-,,,67,172.8,92,53.3,10.6,81.3,30.8,31.8,154.5,29.9,21.44,1,2,18,,,,,2016,HeBei Province,河北省
787,PRJNA609577,787,-,,,73,191,50,26.2,9.5,76,23,1,165.5,18.7,20.26,1,2,16,,,,,2016,HeBei Province,河北省
LH220Ht,PRJNA609577,LH220Ht,-,,,64,165.2,66.2,40.1,7.1,75,26,6.2,148,31.2,16.7,2,2,13.8,,,,,2016,HeBei Province,河北省
W23,PRJNA609577,W23,-,,,65,147.7,52.7,35.7,9,61.7,27,7.3,144.2,39,19.79,2,,16.7,,,,,2016,HeBei Province,河北省
H84,PRJNA609577,H84,-,,,68,128.5,36,28,7.4,59,26.7,8,150.4,28.4,16.63,2,2,14,,,,,2016,HeBei Province,河北省
B76,PRJNA609577,B76,-,,,67,161,57.5,35.7,9.9,70.8,30.8,7.3,139.4,46.8,20.47,2,2,12,,,,,2016,HeBei Province,河北省
B100,PRJNA609577,B100,-,,,63,168.5,50,29.7,9.6,69.8,33.5,13.8,151,27.2,18.03,1,2,13.1,,,,,2016,HeBei Province,河北省
Qi35,PRJNA609577,Qi35,-,,,73,232.2,98.8,42.5,10.6,81.7,41.2,9.2,145.9,39.2,23.52,2,2,12.5,,,,,2016,HeBei Province,河北省
B73,PRJNA609577,B73,-,,,72,234.3,103.3,44.1,8.8,81,32.7,12,165.1,20,19.11,2,2,17.5,,,,,2016,HeBei Province,河北省
BZN,PRJNA609577,BZN,-,,,59,173,19.3,,9.9,60.8,34.5,5.8,153.3,36,16.56,1,1,14,,,,,2016,HeBei Province,河北省
A632,PRJNA609577,A632,-,,,68,222.3,87.8,39.5,8.1,77.3,35.3,12.6,133.3,47.3,18.68,2,2,16.4,,,,,2016,HeBei Province,河北省
200B,PRJNA609577,200B,-,,,65,200.6,69,34.4,10.2,69.6,39.8,17.6,161.1,19.8,18.38,1,2,14.8,,,,,2016,HeBei Province,河北省
Zong3,PRJNA609577,Zong3,-,,,64,171,55.8,32.6,9,71.8,32.3,17.3,160.6,32.1,21.73,2,2,15.3,,,,,2016,HeBei Province,河北省
Zi330,PRJNA609577,Zi330,-,,,67,214.2,88.6,41.4,10.4,81.6,34.4,22.2,138.2,44.2,20.69,1,2,15,,,,,2016,HeBei Province,河北省
488,PRJNA609577,488,-,,,67,194.5,81,41.6,10.9,76.8,33.1,22.7,171.6,14.9,19.7,1,2,14.6,,,,,2016,HeBei Province,河北省
Xi14,PRJNA609577,Xi14,-,,,74,174.8,63.8,36.5,9.4,74.6,31.2,11,143.9,42.9,19.96,2,2,16,,,,,2016,HeBei Province,河北省
K4,PRJNA609577,K4,-,,,75,214.8,112.5,52.4,12.6,75.3,33.3,24.3,162.4,17,20.02,2,2,14,,,,,2016,HeBei Province,河北省
OH40B,PRJNA609577,OH40B,-,,,63,224.3,65.5,29.2,8.4,77.3,38.2,9.2,153.1,33.6,20.88,1,2,13,,,,,2016,HeBei Province,河北省
OH33,PRJNA609577,OH33,-,,,63,252.6,90.5,35.8,8.1,84.3,43.5,16.8,151.3,30.6,21.39,2,2,16,,,,,2016,HeBei Province,河北省
Tai184,PRJNA609577,Tai184,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
C102,PRJNA609577,C102,-,,,67,,126.5,39.3,9.8,84.5,38.9,10.3,142.1,40.6,21.14,2,2,12.8,,,,,2016,HeBei Province,河北省
OH7B,PRJNA609577,OH7B,-,,,73,270.8,122.5,45.2,8.4,93,42.2,12.7,162.7,17.9,18.58,2,2,15.3,,,,,2016,HeBei Province,河北省
R4,PRJNA609577,R4,-,,,,,,,,,,8.5,,,,,,,,,,,2016,HeBei Province,河北省
N6,PRJNA609577,N6,-,,,63,194.3,83,42.7,7.2,76,29.9,20,151,29.4,19.33,2,2,15.7,,,,,2016,HeBei Province,河北省
K64,PRJNA609577,K64,-,,,74,220,91.3,41.5,6.6,81.7,32.8,13,157,21.6,20.85,1,1,15.3,,,,,2016,HeBei Province,河北省
CM7,PRJNA609577,CM7,-,,,53,154.5,29.5,19.1,8.5,68.9,40,5.3,137.1,37.3,16.8,1,2,13.5,,,,,2016,HeBei Province,河北省
A6,PRJNA609577,A6,-,,,78,260,126.3,48.6,8.7,81.7,37.8,20.5,154.4,24.2,20.09,1,2,,,,,,2016,HeBei Province,河北省
H5,PRJNA609577,H5,-,,,65,235.8,97,41.1,9.5,73.8,32.7,14.3,148,31,21.43,2,2,19.5,,,,,2016,HeBei Province,河北省
B2,PRJNA609577,B2,-,,,65,236,88.3,37.4,9.2,81.8,36.4,17.3,136.5,46.5,23.98,2,2,15.7,,,,,2016,HeBei Province,河北省
38_11,PRJNA609577,38_11,-,,,73,276.3,137.3,49.7,8.7,98,46.3,14.8,138.3,42,22.87,2,2,16,,,,,2016,HeBei Province,河北省
MS153,PRJNA609577,MS153,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
I159,PRJNA609577,I159,-,,,79,230.8,116.8,50.6,9.5,83.5,28.9,10.3,140.2,41.1,21.3,2,2,12.7,,,,,2016,HeBei Province,河北省
Xinaiguang10,PRJNA609577,Xinaiguang10,-,,,72,232.6,90,38.7,9.2,96.3,34.2,14,162.8,23,24.36,2,2,14.8,,,,,2016,HeBei Province,河北省
A375,PRJNA609577,A375,-,,,63,217.8,71.5,32.8,7.8,82.7,33.5,12.4,140.6,40.7,18.99,2,2,20,,,,,2016,HeBei Province,河北省
A374,PRJNA609577,A374,-,,,61,199.8,68.5,34.3,8.5,87.3,33.3,13,120.8,55.4,18.38,2,2,15.3,,,,,2016,HeBei Province,河北省
A334,PRJNA609577,A334,-,,,58,169,59,34.9,7.7,75.7,24,14.3,140.1,45.3,16.62,2,2,17.5,,,,,2016,HeBei Province,河北省
Dan341,PRJNA609577,Dan341,-,,,77,175.3,71.7,40.9,,76.2,37.4,25.7,152.9,28.9,26.94,2,2,18,,,,,2016,HeBei Province,河北省
K55,PRJNA609577,K55,-,,,71,186.3,69.5,37.3,9.5,68.8,30.6,15.5,158.8,30.8,22.19,1,1,15.5,,,,,2016,HeBei Province,河北省
A188,PRJNA609577,A188,-,,,,,,,8.4,58,33.3,21,,,22.35,,,,,,,,2016,HeBei Province,河北省
CI31A,PRJNA609577,CI31A,-,,,75,216.5,108,49.9,9,75,40.6,16.5,152.6,27.9,22.93,2,2,14,,,,,2016,HeBei Province,河北省
CM37,PRJNA609577,CM37,-,,,56,162.5,39,24,8.4,64.5,39.8,4.8,122.4,49.4,16.21,1,2,13.8,,,,,2016,HeBei Province,河北省
Dan99chang,PRJNA609577,Dan99chang,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
R168,PRJNA609577,R168,-,,,65,217.5,94.5,43.4,7.8,77.3,32.1,18.5,146.7,39.1,19.62,2,2,14.8,,,,,2016,HeBei Province,河北省
N28,PRJNA609577,N28,-,,,72,100.3,41.8,41.6,8.1,65.5,20.1,12,153.5,29.3,18.78,2,2,,,,,,2016,HeBei Province,河北省
LD61,PRJNA609577,LD61,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
LH212Ht,PRJNA609577,LH212Ht,-,,,68,243,90.5,37.2,8.8,80.5,33,6,153.8,31.8,19.33,2,2,14,,,,,2016,HeBei Province,河北省
LH208,PRJNA609577,LH208,-,,,69,218,74.5,34.2,9.2,85.6,37.5,8.5,140.8,43.1,18.46,2,2,14,,,,,2016,HeBei Province,河北省
LH181,PRJNA609577,LH181,-,,,67,202.7,53.7,26.5,11.9,69.5,37,5.3,156.4,23.9,20.53,2,2,11,,,,,2016,HeBei Province,河北省
LH128,PRJNA609577,LH128,-,,,67,213.5,75,35.1,9.2,72.5,31,8.3,143,24.3,18.53,1,2,13.6,,,,,2016,HeBei Province,河北省
NL001,PRJNA609577,NL001,-,,,67,146,61,41.8,7.5,68.7,24,7.7,148.1,29.5,21.09,2,2,15.5,,,,,2016,HeBei Province,河北省
BCC03,PRJNA609577,BCC03,-,,,66,185.8,47.5,25.6,8.7,79.8,33.5,10.8,144,41.1,18.85,2,2,12.4,,,,,2016,HeBei Province,河北省
PHV07,PRJNA609577,PHV07,-,,,68,226.3,100.8,44.5,8.3,68.9,39.5,2.3,162.8,23,19.32,2,2,12.7,,,,,2016,HeBei Province,河北省
PHP76,PRJNA609577,PHP76,-,,,64,183.7,59,32.1,7.8,78,38.5,12,145.2,35.1,20.19,2,2,15,,,,,2016,HeBei Province,河北省
PHJ65,PRJNA609577,PHJ65,-,,,70,285.5,85.5,29.9,9.3,95.5,33.6,17.5,159.6,17.4,26.32,1,2,12.5,,,,,2016,HeBei Province,河北省
LH191,PRJNA609577,LH191,-,,,71,169,52,30.8,10,70,35.3,12.3,149.5,31.5,23.8,2,2,15.2,,,,,2016,HeBei Province,河北省
Zaodahuang,PRJNA609577,Zaodahuang,-,,,67,198.5,66.8,33.6,7.9,75.4,26.2,8.7,149,36.7,17.38,1,2,18,,,,,2016,HeBei Province,河北省
832,PRJNA609577,832,-,,,70,220,81.5,37,9.3,75.3,28.5,6.6,166.6,18.2,20.24,1,2,12.8,,,,,2016,HeBei Province,河北省
803,PRJNA609577,803,-,,,72,148.5,61.5,41.4,10.9,75,31.5,15.5,171.3,16.7,23.22,1,2,14,,,,,2016,HeBei Province,河北省
434,PRJNA609577,434,-,,,61,135,38.7,28.6,9.6,70.7,31.8,8.8,156.3,29.2,25.36,1,2,12,,,,,2016,HeBei Province,河北省
4112,PRJNA609577,4112,-,,,67,197,72.3,36.7,10.1,74.3,28.5,4.8,170.7,19.2,22,2,2,12.4,,,,,2016,HeBei Province,河北省
4F1,PRJNA609577,4F1,-,,,61,225.7,74.6,33.1,10.4,76.5,39.4,17.6,154.2,34.3,21.82,2,2,14.8,,,,,2016,HeBei Province,河北省
812,PRJNA609577,812,-,,,64,209.5,78.8,37.6,10.6,83,33.3,13.5,165.4,21.7,21.19,1,2,13.5,,,,,2016,HeBei Province,河北省
446,PRJNA609577,446,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
Yan414,PRJNA609577,Yan414,-,,,63,192,73.5,38.3,12.7,69.1,32.6,7.2,153.9,29.8,22.18,1,2,15.1,,,,,2016,HeBei Province,河北省
CI66,PRJNA609577,CI66,-,,,77,171.8,81,47.2,10.2,63.5,30,12,155.4,30.7,20.87,1,1,14,,,,,2016,HeBei Province,河北省
Dahuang46,PRJNA609577,Dahuang46,-,,,69,220.3,106.7,48.4,9.7,58,42.8,20.3,113.1,69.1,21.58,1,2,15.3,,,,,2016,HeBei Province,河北省
Oh7,PRJNA609577,Oh7,-,,,70,264.2,95,36,7.9,81,38.5,13.2,156,29.2,21.26,2,2,15.1,,,,,2016,HeBei Province,河北省
KY228,PRJNA609577,KY228,-,,,75,203.5,73,35.9,9.4,57.7,26.8,17.3,149.3,35.6,20.09,,,,,,,,2016,HeBei Province,河北省
CM105,PRJNA609577,CM105,-,,,59,175.3,69.8,39.8,8.3,71,25,5,128.4,54.1,16.96,2,2,14.7,,,,,2016,HeBei Province,河北省
B57,PRJNA609577,B57,-,,,69,179.8,59.8,33.2,8.9,76.1,30.8,23.3,145.8,39.5,21.98,1,2,13.2,,,,,2016,HeBei Province,河北省
B69,PRJNA609577,B69,-,,,73,207,80.7,39,8.4,73.3,26.5,11,133.2,50.5,21.67,2,2,14,,,,,2016,HeBei Province,河北省
Mo18W,PRJNA609577,Mo18W,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
B64,PRJNA609577,B64,-,,,73,232,104,44.8,8.4,88.5,42.3,10,,,24.89,1,2,12,,,,,2016,HeBei Province,河北省
B96,PRJNA609577,B96,-,,,75,223,105.8,47.4,7.9,67.8,38.3,26.8,121.5,58.6,19.53,1,2,12.7,,,,,2016,HeBei Province,河北省
I_205,PRJNA609577,I_205,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
Liao2202,PRJNA609577,Liao2202,-,,,73,184,72.5,39.4,10.9,68,31,21,159.9,22.3,25.5,2,2,12,,,,,2016,HeBei Province,河北省
B10,PRJNA609577,B10,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
B8,PRJNA609577,B8,-,,,64,199.3,87.3,43.8,7.8,63.8,28.3,15.8,136.8,48.5,18.56,1,2,13.2,,,,,2016,HeBei Province,河北省
A171,PRJNA609577,A171,-,,,61,164,39.3,23.9,6.4,56,28.4,15.5,161.4,25.5,15.62,1,1,14.7,,,,,2016,HeBei Province,河北省
Lv10,PRJNA609577,Lv10,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
PHJ40,PRJNA609577,PHJ40,-,,,55,176,69.5,39.5,8.7,72.1,33.3,5.8,135.8,45.9,17.76,2,2,13.5,,,,,2016,HeBei Province,河北省
A71,PRJNA609577,A71,-,,,68,195,74.3,38.1,9.6,77.3,42.5,15.5,,,26.17,2,2,13,,,,,2016,HeBei Province,河北省
C14,PRJNA609577,C14,-,,,57,159,67,42.1,7.6,66.5,31.7,9.4,122.4,58.5,17.96,2,2,16.4,,,,,2016,HeBei Province,河北省
C46,PRJNA609577,C46,-,,,62,196.3,79.8,40.6,9.3,63.3,32.3,23.3,133.8,62.6,18.03,2,2,15.5,,,,,2016,HeBei Province,河北省
Baihe43,PRJNA609577,Baihe43,-,,,71,191,45.8,24,10.2,82.6,39.8,9.4,157.5,22.1,20.85,1,1,13,,,,,2016,HeBei Province,河北省
R177,PRJNA609577,R177,-,,,66,245.8,68.5,27.9,10,73.8,35.9,9.3,137.5,43.1,22.17,2,2,14.3,,,,,2016,HeBei Province,河北省
R2,PRJNA609577,R2,-,,,68,193.5,68.8,35.5,8.9,73.3,37.3,12.3,140.8,44.8,22.22,2,2,15,,,,,2016,HeBei Province,河北省
W9,PRJNA609577,W9,-,,,59,181.5,67,36.9,9,64,23,14.5,154.7,26.9,16.79,2,2,17.3,,,,,2016,HeBei Province,河北省
W22,PRJNA609577,W22,-,,,63,202.8,58.3,28.7,11.4,77,33.2,14,144.9,40.1,24.67,2,2,14.7,,,,,2016,HeBei Province,河北省
PHR30,PRJNA609577,PHR30,-,,,64,215.5,73,33.9,9.4,66.7,37,6,157.8,25.5,20.73,2,2,14.3,,,,,2016,HeBei Province,河北省
Ji63,PRJNA609577,Ji63,-,,,62,190.8,75.5,39.6,10.3,71.9,35.3,14.7,145.6,37.6,20.69,1,2,14,,,,,2016,HeBei Province,河北省
Dong237,PRJNA609577,Dong237,-,,,58,162.5,38.8,23.8,9.9,74,31,8.8,150.4,32,17.14,1,2,14,,,,,2016,HeBei Province,河北省
Chang3,PRJNA609577,Chang3,-,,,60,220.5,80.8,36.6,10.3,76.2,32.2,7.8,149.9,30.6,20.8,2,2,13.4,,,,,2016,HeBei Province,河北省
Lv9kuan,PRJNA609577,Lv9kuan,-,,,75,172.3,65.3,37.9,10.7,77.3,29.6,19.6,160.1,19.2,21.05,2,2,,,,,,2016,HeBei Province,河北省
PHBA6,PRJNA609577,PHBA6,-,,,64,259.3,95.3,36.7,7,81.5,42.5,15,153.3,26.6,21.1,2,2,17.6,,,,,2016,HeBei Province,河北省
48_2,PRJNA609577,48_2,-,,,72,152.2,70.2,46.1,10.4,82,38.7,21.2,166.3,17.5,22.12,1,2,15.3,,,,,2016,HeBei Province,河北省
Luyuan92,PRJNA609577,Luyuan92,-,,,63,218.5,77.5,35.5,9.5,66.6,32.4,8,151,30,18.44,1,2,14.4,,,,,2016,HeBei Province,河北省
LH215,PRJNA609577,LH215,-,,,66,236.8,80.3,33.9,9,78.1,38.1,5.5,148.7,28.7,21.47,2,2,13.5,,,,,2016,HeBei Province,河北省
LH162,PRJNA609577,LH162,-,,,57,172.5,57,33,7.7,66.8,31.9,14.5,145.5,36.6,17.01,2,2,14.3,,,,,2016,HeBei Province,河北省
LH196,PRJNA609577,LH196,-,,,71,217,59,27.2,8.6,84,30,6,142.6,32.1,22.1,,,,,,,,2016,HeBei Province,河北省
2MA22,PRJNA609577,2MA22,-,,,59,200,45.5,22.8,9.2,83,38.5,5.5,163.2,26.2,22.69,2,2,16,,,,,2016,HeBei Province,河北省
H99,PRJNA609577,H99,-,,,66,136,34.5,25.4,8,66.3,25.8,5.5,129.6,51.8,19.79,1,2,11,,,,,2016,HeBei Province,河北省
WIL_25,PRJNA609577,WIL_25,-,,,66,180.5,58,32.1,8.4,72,49,4.3,165.3,20.7,23.24,2,2,14,,,,,2016,HeBei Province,河北省
LH205,PRJNA609577,LH205,-,,,63,208.3,62.8,30.1,8.5,77.5,28.1,7,156.7,22.8,18.65,2,2,14.7,,,,,2016,HeBei Province,河北省
DH40,PRJNA609577,DH40,-,,,76,269.3,110,40.8,11.1,81,37.2,13.8,158.8,20.6,27.24,2,2,14,,,,,2016,HeBei Province,河北省
PH207,PRJNA609577,PH207,-,,,60,197.8,71,35.9,8.4,77.7,35.5,15.2,143.7,37.7,17.88,2,2,14.6,,,,,2016,HeBei Province,河北省
Y223,PRJNA609577,Y223,-,,,69,199.8,71.5,35.8,12.2,55.8,28.3,4.5,150.4,29.1,20.65,2,2,12.6,,,,,2016,HeBei Province,河北省
Fu8501,PRJNA609577,Fu8501,-,,,72,190.5,77.3,40.6,11.3,73.9,31.9,15.3,164,19.5,22.91,2,2,14,,,,,2016,HeBei Province,河北省
PHGG7,PRJNA609577,PHGG7,-,,,56,210,79.5,37.9,6.7,70.5,35.4,17,137.2,49.7,18.76,1,2,14.4,,,,,2016,HeBei Province,河北省
MQ305,PRJNA609577,MQ305,-,,,62,155,45,29,8.9,62,,11,141.4,49.4,16.07,2,2,12,,,,,2016,HeBei Province,河北省
18_599,PRJNA609577,18_599,-,,,80,244.5,133.8,54.7,9.9,74.8,34.5,18.4,160.9,24.7,,1,2,13.8,,,,,2016,HeBei Province,河北省
Lv28,PRJNA609577,Lv28,-,,,71,173.8,71.5,41.2,8.9,68.9,25.3,15.8,157.2,27.4,21.41,1,2,12.8,,,,,2016,HeBei Province,河北省
LH193,PRJNA609577,LH193,-,,,65,187.3,53.8,28.7,9,72.8,32.3,5.8,161.1,19.8,21.53,2,2,15.4,,,,,2016,HeBei Province,河北省
87_1,PRJNA609577,87_1,-,,,71,225,86.8,38.6,11.5,94.5,33.8,17.2,169.2,15.2,22.72,2,2,15.7,,,,,2016,HeBei Province,河北省
WIL_21,PRJNA609577,WIL_21,-,,,61,202.3,51.8,25.6,9.7,83.3,38.5,9.6,155.5,27.2,22.71,2,2,15,,,,,2016,HeBei Province,河北省
WIL_24,PRJNA609577,WIL_24,-,,,65,204,72.8,35.7,6.8,79,30.8,12,162.9,14.6,20.01,2,2,17.4,,,,,2016,HeBei Province,河北省
A554,PRJNA609577,A554,-,,,61,168.6,52,30.8,8.8,67.1,33.8,12.6,143.4,42.6,18.3,2,2,13.6,,,,,2016,HeBei Province,河北省
LH194,PRJNA609577,LH194,-,,,71,180,49,27.2,9.3,75,,,157.4,20.3,26.93,2,2,16,,,,,2016,HeBei Province,河北省
NQ508,PRJNA609577,NQ508,-,,,70,170.3,74.3,43.6,8,67.3,34.5,6.3,137.8,45.6,18.42,2,2,13,,,,,2016,HeBei Province,河北省
ICI_893,PRJNA609577,ICI_893,-,,,67,156.8,42.9,27.4,9.3,73.8,32.5,9.3,163.4,16.5,22.69,2,2,16,,,,,2016,HeBei Province,河北省
ICI_441,PRJNA609577,ICI_441,-,,,63,191,66,34.6,8.9,81,38.5,8.5,162.8,31.9,25.99,2,2,15,,,,,2016,HeBei Province,河北省
ICI_193,PRJNA609577,ICI_193,-,,,62,233.3,98.5,42.2,8,69.3,34,10.8,142.5,43.5,22.95,2,2,12.7,,,,,2016,HeBei Province,河北省
LH222,PRJNA609577,LH222,-,,,59,198.3,68,34.3,7.8,66.3,25.8,8.4,158.3,23.8,18.16,2,2,14,,,,,2016,HeBei Province,河北省
83IBI3,PRJNA609577,83IBI3,-,,,57,162.5,53.5,32.9,7.1,64.5,34,10,159.4,26.6,18.49,2,2,14,,,,,2016,HeBei Province,河北省
LIBC_4,PRJNA609577,LIBC_4,-,,,63,184,62,33.7,9,72.2,35.7,5.4,130.8,54.6,19.06,2,2,14.8,,,,,2016,HeBei Province,河北省
F118,PRJNA609577,F118,-,,,72,210,79.3,37.7,9.5,82.3,30.5,15.3,157.6,21.8,27.18,2,2,15.5,,,,,2016,HeBei Province,河北省
LH209,PRJNA609577,LH209,-,,,63,199,59.8,30,8.8,76.3,32.2,7.2,157.7,18.6,20.18,2,2,15.3,,,,,2016,HeBei Province,河北省
MBUB,PRJNA609577,MBUB,-,,,,186,68,36.6,10,73,25,1,147.8,32.5,19.54,1,2,14,,,,,2016,HeBei Province,河北省
Hua160,PRJNA609577,Hua160,-,,,63,193,91,47.2,12.2,61.8,28.1,16.8,158.7,24.5,26.62,1,2,14.3,,,,,2016,HeBei Province,河北省
LH206,PRJNA609577,LH206,-,,,69,176,59,33.5,9.5,81.8,32.5,7.5,155.1,27,19.2,2,2,13.8,,,,,2016,HeBei Province,河北省
LH127,PRJNA609577,LH127,-,,,64,194.7,55.7,28.6,9.4,72.7,41.3,6.3,145.6,35.3,19.68,2,2,11.3,,,,,2016,HeBei Province,河北省
2FACC,PRJNA609577,2FACC,-,,,63,207.8,70.5,33.9,9.6,70,27.2,11,162.4,32.1,22.9,2,2,14.8,,,,,2016,HeBei Province,河北省
PHP55,PRJNA609577,PHP55,-,,,68,164.5,40,24.3,9.5,68.7,30.9,11.5,144.2,37.7,21.17,2,2,13,,,,,2016,HeBei Province,河北省
WIL_8,PRJNA609577,WIL_8,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
WIL_11,PRJNA609577,WIL_11,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省
8723,PRJNA609577,8723,-,,,71,172.5,70,40.6,8.4,79,35,12,167.4,21.2,18.54,2,2,12.7,,,,,2016,HeBei Province,河北省
WIL_14,PRJNA609577,WIL_14,-,,,70,170.3,61,35.8,9.9,80.5,31.2,11.7,166.4,18.6,22.58,1,2,14,,,,,2016,HeBei Province,河北省
WIL_3,PRJNA609577,WIL_3,-,,,72,221.8,77.5,34.9,8.5,82.3,33.8,7.2,158.6,23.9,20.17,2,2,16.4,,,,,2016,HeBei Province,河北省
F42,PRJNA609577,F42,-,,,64,175.4,46.6,26.6,8.1,69.4,35.1,6.3,157.8,22.3,16.76,2,2,17.3,,,,,2016,HeBei Province,河北省
PHG35,PRJNA609577,PHG35,-,,,63,238,70.5,29.6,8.9,82,36.5,7.8,163.8,21.4,19.53,2,2,16.7,,,,,2016,HeBei Province,河北省
MO24W,PRJNA609577,MO24W,-,,,75,268.7,140.8,52.4,8.8,88.9,45.5,17.5,162.5,18.9,28.08,2,1,16.4,,,,,2016,HeBei Province,河北省
ML606,PRJNA609577,ML606,-,,,63,201.3,58,28.8,9.9,80.2,27.4,4.2,156.4,30.1,20.65,1,2,12.8,,,,,2016,HeBei Province,河北省
29MIBZ2,PRJNA609577,29MIBZ2,-,,,61,166,49,29.5,9.8,73.3,32,11.3,137.7,51.4,22.41,2,2,14,,,,,2016,HeBei Province,河北省
C103,PRJNA609577,C103,-,,,73,202.5,91.3,45.1,8.7,82.1,32.6,18,154.1,22.9,23.47,2,2,14.8,,,,,2016,HeBei Province,河北省
PHN66,PRJNA609577,PHN66,-,,,70,218.3,82.5,37.8,9,73.2,32.8,7.8,148.2,36,19.45,1,2,14.9,,,,,2016,HeBei Province,河北省
PHJ90,PRJNA609577,PHJ90,-,,,62,186.5,64.5,34.6,9,73.5,31.5,9.3,144.9,38.9,21.19,2,2,17.3,,,,,2016,HeBei Province,河北省
PHJ89,PRJNA609577,PHJ89,-,,,64,201.8,48,23.8,9.5,69.8,33.3,7.2,154.1,27.6,19.89,1,2,14.4,,,,,2016,HeBei Province,河北省
